price,city,area,district,bedrooms,apartment,bathrooms,furnished,kitchen,floor,air_condition,source
40000,مدينة الرياض,100,حي الياسمين,1,شقة,1,No,Yes,1,No,aqar
35000,مدينة الرياض,70,حي إشبيلية,2,شقة,2,No,Yes,1,Yes,aqar
40000,مدينة الرياض,300,حي الياسمين,1,شقة,1,No,Yes,3,Yes,aqar
70000,مدينة الرياض,450,حي النرجس,3,شقة,3,No,Yes,1,No,aqar
17000,مدينة مكه المكرمه,100,حي العمرة,2,شقة,2,No,Yes,1,Yes,aqar
35000,مدينة الرياض,80,حي الملقا,1,شقة,1,No,Yes,2,No,aqar
80000,مدينة الرياض,119,حي الملقا,3,شقة,3,Yes,Yes,Unknown,Yes,aqar
28800,مدينة الرياض,313,حي الدار البيضاء,3,شقة,2,Yes,Yes,2,No,aqar
7200,مدينة الرياض,1149,حي النرجس,3,شقة,3,No,Yes,2,No,aqar
36000,مدينة الرياض,190,حي القادسية,4,شقة,2,No,Yes,2,No,aqar
40000,مدينة جدة,579,حي الفيصلية,5,شقة,4,No,Yes,4,No,aqar
75000,مدينة الرياض,205,حي قرطبة,4,شقة,3,No,Yes,2,Yes,aqar
2500,مدينة امارة منطقة مكة المكرمة - الطائف,150,حي الأخباب,3,شقة,0,No,Yes,Unknown,No,aqar
85000,مدينة الرياض,126,حي الملقا,2,شقة,3,No,Yes,3,No,aqar
28000,مدينة الرياض,1680,حي النهضة,,شقة,0,No,Yes,Unknown,No,aqar
24000,مدينة الرياض,122,حي الدار البيضاء,2,شقة,2,No,Yes,1,No,aqar
45000,مدينة جدة,114,حي الزهراء,5,شقة,3,No,Yes,Unknown,No,aqar
36000,مدينة الرياض,100,حي الغدير,1,شقة,1,No,Yes,2,No,aqar
60000,مدينة الرياض,420,حي القيروان,3,شقة,3,Yes,Yes,1,Yes,aqar
49800,مدينة الرياض,70,حي الوادي,1,شقة,1,No,Yes,2,No,aqar
35000,مدينة الرياض,400,حي النفل,,شقة,0,No,No,Unknown,No,aqar
